group_name,tech,output_comm,mode,demand_type,unit,fuel_type_1,fuel_type_2,vehicle_type,zev_class,status
LDV,T_LDV_LTF_BEV150_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTF_BEV150_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTF_BEV150_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTF_BEV200_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTF_BEV200_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTF_BEV200_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTF_BEV300_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTF_BEV300_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTF_BEV300_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTF_BEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV elc,T_LDV_LTF_BEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV ZEV,T_LDV_LTF_BEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,elc,NONE,BEV,zev,new
LDV,T_LDV_LTF_CNG_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,cng,NONE,ice,non-zev,new
LDV ICE,T_LDV_LTF_CNG_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,cng,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTF_CNG_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,cng,NONE,ice,non-zev,new
Existing_LDV,T_LDV_LTF_DSL_EX,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,dsl,NONE,ice,non-zev,Existing
LDV,T_LDV_LTF_DSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,dsl,NONE,ice,non-zev,new
LDV ICE,T_LDV_LTF_DSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,dsl,NONE,ice,non-zev,new
LDV N-ZEV,T_LDV_LTF_DSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,dsl,NONE,ice,non-zev,new
LDV,T_LDV_LTF_FCEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,h2,NONE,h2,zev,new
LDV H2,T_LDV_LTF_FCEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,h2,NONE,h2,zev,new
LDV ZEV,T_LDV_LTF_FCEV400_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,h2,NONE,h2,zev,new
Existing_LDV,T_LDV_LTF_GSL_EX,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,NONE,ice,non-zev,Existing
Existing_LDV,T_LDV_LTF_GSL_HEV_EX,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,hyb,non-zev,Existing
LDV,T_LDV_LTF_GSL_HEV_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,hyb,non-zev,new
LDV hyb,T_LDV_LTF_GSL_HEV_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,hyb,non-zev,new
LDV N-ZEV,T_LDV_LTF_GSL_HEV_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,elc,hyb,non-zev,new
LDV,T_LDV_LTF_GSL_N,T_D_tkm_ldv_t,Trucks (LDV),tkm,k units,gsl,NONE,ice,non-zev,new
