,scenario,region,sector,period,tech,vintage,capacity
2026,zulu,ON,transportation,2030,T_LDV_LTP_GSL_N,2030,0.00022995707600845103
2040,zulu,ON,transportation,2045,T_LDV_LTP_DSL_N,2040,0.00012538875477413288
2042,zulu,ON,transportation,2040,T_LDV_C_BEV300_N,2035,134.46237633487274
2048,zulu,ON,transportation,2045,T_LDV_C_GSL_N,2035,0.00016357589158113672
2049,zulu,ON,transportation,2045,T_LDV_LTP_GSL_HEV_N,2040,1984.8116678739302
2055,zulu,ON,transportation,2040,T_LDV_LTP_FCEV400_N,2025,3.064625329899946e-05
2071,zulu,ON,transportation,2050,T_LDV_LTP_GSL_PHEV50_N,2035,0.00027742569383394465
2083,zulu,ON,transportation,2035,T_LDV_LTP_BEV400_N,2030,0.0007829399647869549
2093,zulu,ON,transportation,2040,T_LDV_C_BEV200_N,2040,473.0457857943479
2094,zulu,ON,transportation,2045,T_LDV_LTP_BEV300_N,2040,0.000816363032675981
2096,zulu,ON,transportation,2045,T_LDV_LTP_DSL_N,2030,3.06548669564263e-05
2099,zulu,ON,transportation,2045,T_LDV_C_BEV200_N,2035,71.71326737928199
2108,zulu,ON,transportation,2045,T_LDV_LTP_GSL_HEV_N,2030,0.00027185522276725803
2121,zulu,ON,transportation,2040,T_LDV_LTP_CNG_N,2040,0.0003867685653680833
2124,zulu,ON,transportation,2030,T_LDV_C_GSL_N,2025,0.00028034082651381324
2125,zulu,ON,transportation,2030,T_LDV_LTP_GSL_HEV_N,2030,0.00135927611383629
2130,zulu,ON,transportation,2035,T_LDV_LTP_GSL_PHEV35_N,2025,1636.3136800032535
2140,zulu,ON,transportation,2045,T_LDV_LTP_FCEV400_N,2045,0.0023651903740549247
2143,zulu,ON,transportation,2030,T_LDV_C_BEV150_N,2030,0.0005712077680632059
2151,zulu,ON,transportation,2030,T_LDV_LTP_BEV150_N,2030,0.00019574268273201754
2155,zulu,ON,transportation,2040,T_LDV_C_BEV200_N,2030,0.0009139171989140138
2156,zulu,ON,transportation,2045,T_LDV_LTP_BEV300_N,2030,0.00011744152084084103
2165,zulu,ON,transportation,2030,T_LDV_LTP_GSL_PHEV50_N,2030,0.0015881943230149555
2179,zulu,ON,transportation,2025,T_LDV_C_GSL_HEV_N,2025,2439.792597474624
2186,zulu,ON,transportation,2050,T_LDV_LTP_CNG_N,2040,0.0003867685653680833
