region,tech,vintage,capacity
NLLAB,T_LDV_LTP_GSL_EX,2020.0,69.26568591221276
NLLAB,T_LDV_LTP_GSL_HEV_EX,2010.0,0.16643715268546477
NLLAB,T_LDV_LTP_GSL_HEV_EX,2015.0,0.6382368283817771
NLLAB,T_LDV_LTP_GSL_HEV_EX,2020.0,5.127036890423012
NLLAB,T_LDV_LTP_GSL_PHEV35_EX,2015.0,0.1972159068712576
NLLAB,T_LDV_LTP_GSL_PHEV35_EX,2020.0,0.9368990175726218
NLLAB,T_MDV_T_DSL_EX,2005.0,2.4474
NLLAB,T_MDV_T_DSL_EX,2010.0,4.3302
NLLAB,T_MDV_T_DSL_EX,2015.0,5.353970356441558
NLLAB,T_MDV_T_DSL_EX,2020.0,5.322319270752291
NLLAB,T_MDV_T_GSL_EX,2005.0,1.6316000000000002
NLLAB,T_MDV_T_GSL_EX,2010.0,2.8868
NLLAB,T_MDV_T_GSL_EX,2015.0,3.3248481061819737
NLLAB,T_MDV_T_GSL_EX,2020.0,3.4726437416420453
NS,T_LDV_C_BEV150_EX,2010.0,0.1935238259351843
NS,T_LDV_C_BEV150_EX,2015.0,1.4142946563297787
NS,T_LDV_C_BEV150_EX,2020.0,3.493563068000765
NS,T_LDV_C_DSL_EX,2005.0,2.72814
NS,T_LDV_C_DSL_EX,2010.0,3.9231517904286766
NS,T_LDV_C_DSL_EX,2015.0,0.7795200583509218
NS,T_LDV_C_DSL_EX,2020.0,0.0011850857584362576
NS,T_LDV_C_GSL_EX,2005.0,88.20985999999999
NS,T_LDV_C_GSL_EX,2010.0,126.37032847728176
NS,T_LDV_C_GSL_EX,2015.0,97.62907319664268
NS,T_LDV_C_GSL_EX,2020.0,40.904199356784844
NS,T_LDV_C_GSL_HEV_EX,2010.0,2.3606226405709068
NS,T_LDV_C_GSL_HEV_EX,2015.0,2.30142584466969
NS,T_LDV_C_GSL_HEV_EX,2020.0,3.1757515423761533
NS,T_LDV_C_GSL_PHEV35_EX,2010.0,0.17137326578347628
NS,T_LDV_C_GSL_PHEV35_EX,2015.0,1.1366862440069305
NS,T_LDV_C_GSL_PHEV35_EX,2020.0,0.36930094707979816
NS,T_HDV_T_DSL_EX,2005.0,3.149
NS,T_HDV_T_DSL_EX,2010.0,2.794
NS,T_HDV_T_DSL_EX,2015.0,3.651
NS,T_HDV_T_DSL_EX,2020.0,2.981
NS,T_LDV_LTF_DSL_EX,2005.0,0.82836
NS,T_LDV_LTF_DSL_EX,2010.0,1.3876565080334218
NS,T_LDV_LTF_DSL_EX,2015.0,3.056383392938704
NS,T_LDV_LTF_DSL_EX,2020.0,3.5840679028423343
NS,T_LDV_LTF_GSL_EX,2005.0,19.67355
NS,T_LDV_LTF_GSL_EX,2010.0,24.318103638758444
NS,T_LDV_LTF_GSL_EX,2015.0,33.00434459075467
NS,T_LDV_LTF_GSL_EX,2020.0,23.512774615809356
NS,T_LDV_LTF_GSL_HEV_EX,2010.0,0.005241737371574349
NS,T_LDV_LTF_GSL_HEV_EX,2020.0,1.0282411996890408
NS,T_LDV_LTF_GSL_PHEV35_EX,2015.0,0.0572720163066295
NS,T_LDV_LTF_GSL_PHEV35_EX,2020.0,0.07776829211642261
NS,T_LDV_LTP_BEV300_EX,2010.0,0.0021876145843058815
NS,T_LDV_LTP_BEV300_EX,2015.0,0.18413556685396798
NS,T_LDV_LTP_BEV300_EX,2020.0,3.114655254326857
