tech,flag,sector,category,sub_category,unlim_cap,annual,reserve,curtail,retire,flex,exchange,seas_stor,description,data_id
R_APP_CL_WASH-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes washers - clothes washers - existing,RESHR001
R_APP_DS_WASH-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances dish washers - dish washers - existing,RESHR001
R_APP_COOK_ELEC-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances cooking ranges - electric cooking ranges - existing,RESHR001
R_APP_DRY_ELEC-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes dryers - electric clothes dryers - existing,RESHR001
R_APP_FREZ-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances freezers - freezers - existing,RESHR001
R_APP_REFR-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances refrigerators - refrigerators - existing,RESHR001
R_APP_COOK_NG-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances cooking ranges - natural gas cooking ranges - existing,RESHR001
R_APP_DRY_NG-EXS,p,residential,,,0,1,0,0,0,0,0,0,appliances clothes dryers - natural gas clothes dryers - existing,RESHR001
R_APP_OTH,p,residential,,,1,1,0,0,0,0,0,0,appliances other - other electrical appliances and devices,RESHR001
R_LGT_CFL-EXS,p,residential,,,0,1,0,0,0,0,0,0,lighting - compact fluorescent,RESHR001
R_LGT_LED-EXS,p,residential,,,0,1,0,0,0,0,0,0,lighting - led,RESHR001
R_LGT_T12-EXS,p,residential,,,0,1,0,0,0,0,0,0,lighting - linear fluorescent,RESHR001
R_LGT_LED-TYP-NEW,p,residential,,,0,1,0,0,0,0,0,0,lighting - new led bulb (60W inc-equiv) typical efficiency,RESHR001
T_BLND_DSL_ELC_HDV,p,transportation,Blending,,1,1,0,0,0,0,0,0,,TRPHR001
T_BLND_DSL_ELC_MDV,p,transportation,Blending,,1,1,0,0,0,0,0,0,,TRPHR001
T_BLND_ETH_GSL,p,transportation,Blending,,1,1,0,0,0,0,0,0,,TRPHR001
T_BLND_GSL_ELC_PHEV35,p,transportation,Blending,,1,1,0,0,0,0,0,0,,TRPHR001
